code,name,year,row,column,width,height,menu,prerequisits
majorSelect,Major,-1,0,0,1,1,MAJOR1 MAJOR2 MAJOR3 MAJOR4 OPEN1,
minorSelect,Minor,-1,0,0,1,1,MINOR1 MINOR2 MINOR3 MINOR4 MINOR5 OPEN2 UNIELECTIVES,
GRAP1041,,1,1,1,1,1,,
GRAP1050,,1,2,1,1,1,,
GRAP1052,,1,3,1,1,1,,
GRAP1049,,1,4,1,1,1,,
GRAP1031,,1,1,2,1,1,,
GRAP2577,,1,2,2,1,1,,
ARCH3355,,1,3,2,1,1,,
GRAP2576,,1,4,2,1,1,,
,Studio Course 1,2,1,1,1,2,ARCH3362 ARCH3364 ARCH3366 GRAP2221,GRAP1052 GRAP1049 GRAP1050 GRAP1041 GRAP1031 ARCH3355 GRAP2576 GRAP2577
,Studio Course 2,2,1,2,1,2,ARCH3362 ARCH3364 ARCH3366 GRAP2221,GRAP1052 GRAP1049 GRAP1050 GRAP1041 GRAP1031 ARCH3355 GRAP2576 GRAP2577
,Major Course 1,2,3,1,1,1,MAJOR,MAJOR1||MAJOR2||MAJOR3||MAJOR4||OPEN1
,Major Course 2,2,3,2,1,1,MAJOR,MAJOR1||MAJOR2||MAJOR3||MAJOR4||OPEN1
,Minor Course 1,2,4,1,1,1,MINOR,MINOR1||MINOR2||MINOR3||MINOR4||MINOR5||OPEN2||UNIELECTIVES
,Minor Course 2,2,4,2,1,1,MINOR,MINOR1||MINOR2||MINOR3||MINOR4||MINOR5||OPEN2||UNIELECTIVES
,Studio Course 3,3,1,1,1,2,ARCH3362 ARCH3364 ARCH3366 GRAP2221,GRAP1052 GRAP1049 GRAP1050 GRAP1041 GRAP1031 ARCH3355 GRAP2576 GRAP2577
,Studio Course 4,3,1,2,1,2,ARCH3362 ARCH3364 ARCH3366 GRAP2221,GRAP1052 GRAP1049 GRAP1050 GRAP1041 GRAP1031 ARCH3355 GRAP2576 GRAP2577
,Major Course 3,3,3,1,1,1,MAJOR,MAJOR1||MAJOR2||MAJOR3||MAJOR4||OPEN1
,Major Course 4,3,3,2,1,1,MAJOR,MAJOR1||MAJOR2||MAJOR3||MAJOR4||OPEN1
,Minor Course 3,3,4,1,1,1,MINOR,MINOR1||MINOR2||MINOR3||MINOR4||MINOR5||OPEN2||UNIELECTIVES
,Minor Course 4,3,4,2,1,1,MINOR,MINOR1||MINOR2||MINOR3||MINOR4||MINOR5||OPEN2||UNIELECTIVES
ARCH3368,,4,1,1,1,1,,
GRAP2225,,4,2,1,1,1,,
GRAP1040,,4,1,2,1,2,,
,Major Option 1,4,3,1,1,1,GRAP1042 ARCH3361 GRAP2575 ARCH1478 GRAP1051 GRAP1037 GRAP2578 INTE2652 ARCH1479 GRAP1043 GRAP2572 ARCH1477 ARCH3347 ARCH1372 PERF2070 ARCH3356 GRAP2571 GRAP2570 minor-1 minor-2 minor-3 minor-4,MAJOR1||MAJOR2||MAJOR3||MAJOR4||OPEN1
,Major Option 2,4,4,1,1,1,GRAP1042 ARCH3361 GRAP2575 ARCH1478 GRAP1051 GRAP1037 GRAP2578 INTE2652 ARCH1479 GRAP1043 GRAP2572 ARCH1477 ARCH3347 ARCH1372 PERF2070 ARCH3356 GRAP2571 GRAP2570 minor-1 minor-2 minor-3 minor-4,MAJOR1||MAJOR2||MAJOR3||MAJOR4||OPEN1
,Major Option 3,4,3,2,1,1,GRAP1042 ARCH3361 GRAP2575 ARCH1478 GRAP1051 GRAP1037 GRAP2578 INTE2652 ARCH1479 GRAP1043 GRAP2572 ARCH1477 ARCH3347 ARCH1372 PERF2070 ARCH3356 GRAP2571 GRAP2570 minor-1 minor-2 minor-3 minor-4,MAJOR1||MAJOR2||MAJOR3||MAJOR4||OPEN1
,Major Option 4,4,4,2,1,1,GRAP1042 ARCH3361 GRAP2575 ARCH1478 GRAP1051 GRAP1037 GRAP2578 INTE2652 ARCH1479 GRAP1043 GRAP2572 ARCH1477 ARCH3347 ARCH1372 PERF2070 ARCH3356 GRAP2571 GRAP2570 minor-1 minor-2 minor-3 minor-4,MAJOR1||MAJOR2||MAJOR3||MAJOR4||OPEN1
