code,name,year,column,points,option,number,prerequisits,equivalents,menu
,Design Studies Course,1,1,12,1,1,,,GRAP1041 GRAP1042
,First Year Subject,1,2,12,1,1,,,GRAP1052 GRAP1049 GRAP1050 GRAP1051
,First Year Subject,1,3,12,1,1,,,GRAP1052 GRAP1049 GRAP1050 GRAP1051
,Design Studio,1,4,12,1,1,,,GRAP1031 GRAP1032
,Design Studio,1,5,12,1,1,,,GRAP1031 GRAP1032
,First Year Subject,1,6,12,1,1,,,GRAP1052 GRAP1049 GRAP1050 GRAP1051
,First Year Subject,1,7,12,1,1,,,GRAP1052 GRAP1049 GRAP1050 GRAP1051
,Design Studies Course,1,8,12,1,1,,,GRAP1041 GRAP1042
,Program Elective,2,1,12,1,1,,,GRAP2940 GRAP2941 GRAP2926 GRAP2578 GRAP2572 ARCH1478 ARCH1477 GRAP2571
,Second Year Subject,2,2,12,1,1,GRAP1041||GRAP1052||GRAP1049||GRAP1031||GRAP1032||GRAP1050||GRAP1051||GRAP1042,,GRAP1043 ARCH1479
,Design Studio,2,3,24,1,1,GRAP1031 GRAP1032,,GRAP1033 GRAP1034 GRAP1035 GRAP2221
,Design Studio,2,5,24,1,1,GRAP1031 GRAP1032,,GRAP1033 GRAP1034 GRAP1035 GRAP2221
,Second Year Subject,2,7,12,1,1,GRAP1041||GRAP1052||GRAP1049||GRAP1031||GRAP1032||GRAP1050||GRAP1051||GRAP1042,,GRAP1043 ARCH1479
,Univeristy or Program Elective,2,8,12,1,1,,,GRAP2940 GRAP2941 GRAP2926 GRAP2578 GRAP2572 ARCH1478 ARCH1477 GRAP2571 University
,Program Elective,3,1,12,1,1,,,GRAP2940 GRAP2941 GRAP2926 GRAP2578 GRAP2572 ARCH1478 ARCH1477 GRAP2571
GRAP1045,Contemporary Industrial Design Enterprise,3,2,12,1,1,GRAP1041||GRAP1052||GRAP1049||GRAP1031||GRAP1032||GRAP1050||GRAP1051||GRAP1042,,
,Design Studio,3,3,24,1,1,GRAP1031 GRAP1032,,GRAP1033 GRAP1034 GRAP1035 GRAP2221
,Design Studio,3,5,24,1,1,GRAP1031 GRAP1032,,GRAP1033 GRAP1034 GRAP1035 GRAP2221
GRAP2225,Methods in Design Research and Practice,3,7,12,1,1,GRAP1033||GRAP1034||GRAP1035||GRAP2221,,
,Univeristy or Program Elective,3,8,12,1,1,,,GRAP2940 GRAP2941 GRAP2926 GRAP2578 GRAP2572 ARCH1478 ARCH1477 GRAP2571 University
,Program Elective,4,1,12,1,1,,,GRAP2940 GRAP2941 GRAP2926 GRAP2578 GRAP2572 ARCH1478 ARCH1477 GRAP2571
GRAP2923,Professional Ethics and Design Strategy,4,2,12,1,1,GRAP1033||GRAP1034||GRAP1035||GRAP2221,,
GRAP2935,Industrial Design Honours Project Part 1,4,3,24,1,1,GRAP2225 GRAP2221 GRAP1035 GRAP1034 GRAP1033,,
GRAP2930,Industrial Design Honours Project Part 2,4,5,24,1,1,GRAP2935,,
GRAP2939,Industrial Design Honours Reflection and Exposition,4,7,12,1,1,GRAP2225 GRAP2221 GRAP1035 GRAP1034 GRAP1033,,
,Univeristy or Program Elective,4,8,12,1,1,,,GRAP2940 GRAP2941 GRAP2926 GRAP2578 GRAP2572 ARCH1478 ARCH1477 GRAP2571 University
GRAP1033,Design Studio: Materiality,,,24,,,,,
GRAP1034,Design Studio: Speculative,,,24,,,,,
GRAP1035,Design Studio: Social,,,24,,,,,
GRAP2221,Design Studio: Digital,,,24,,,,,
GRAP2940,Advanced Industrial Design Engineering,,,12,,,,,
GRAP2941,Advanced CAID,,,12,,,,,
GRAP2926,Advanced Industrial Design Visualisation,,,12,,,,,
GRAP2578,Industrial Design Prototyping and Complex Fabrication,,,12,,,,,
GRAP2572,Electronic and Interactive Prototyping,,,12,,,,,
ARCH1478,System and Service Visualisation,,,12,,,,,
ARCH1477,Computational Prototyping,,,12,,,,,
GRAP2571,Design Internship,,,12,,,,,
GRAP1041,Design in Society,,,12,,,,,
GRAP1042,Industrial Design Ecologies,,,12,,,,,
GRAP1052,Design Prototyping,,,12,,,,,
GRAP1049,ID Drawing,,,12,,,,,
GRAP1050,Computer Aided Industrial Design,,,12,,,,,
GRAP1051,Industrial Design Engineering,,,12,,,,,
GRAP1031,User Centred Design Studio,,,12,,,,,
GRAP1032,Design for Sustainability,,,12,,,,,
GRAP1043,Industrial Design Tactics,,,12,,,,,
ARCH1479,Interactive Systems Design,,,12,,,,,
University,Elective,,,12,,,,,
