code,name,core,options,number
MAJOR1,Design for Sustainability,GRAP1042 ARCH3361 GRAP2575 ARCH1478,GRAP1037 GRAP2578 INTE2652 GRAP2572 ARCH1477 GRAP2571 GRAP2570,4
MAJOR2,Design for Advanced Manufacturing,GRAP1051 GRAP1037 GRAP2578 INTE2652,ARCH3361 GRAP2575 ARCH1478 GRAP2572 ARCH1477 GRAP2571 GRAP2570,4
MAJOR3,Interaction Design,ARCH1479 GRAP1043 GRAP2572 ARCH1477,GRAP2575 ARCH1478 GRAP1037 GRAP2578 INTE2652 GRAP2571 GRAP2570,4
MAJOR4,Design for Sound Interfaces and Environments,ARCH3347 ARCH1372 PERF2070 ARCH3356 ARCH1479,GRAP2575 GRAP2578 GRAP2572 ARCH1477 GRAP2571 GRAP2570,3
MINOR1,Design for Sustainability,GRAP1042 ARCH3361 GRAP2575 ARCH1478 ARCH3357,,4
MINOR2,Design for Advanced Manufacturing,GRAP1051 GRAP1037 GRAP2578 INTE2652 ARCH3357,,4
MINOR3,Interaction Design,ARCH1479 GRAP1043 GRAP2572 ARCH1477 ARCH3357,,4
MINOR4,Design for Sound Interfaces and Environments,ARCH3347 ARCH1372 PERF2070 ARCH3356 ARCH1479,,4
MINOR5,Other University Minor,minor-1 minor-2 minor-3 minor-4,,4
OPEN1,Open,GRAP1042 ARCH3361 GRAP2575 ARCH1478 GRAP1051 GRAP1037 GRAP2578 INTE2652 ARCH1479 GRAP1043 GRAP2572 ARCH1477 ARCH3347 ARCH1372 PERF2070 ARCH3356 ARCH1479 GRAP2571 GRAP2570 minor-1 minor-2 minor-3 minor-4,,4
OPEN2,Open,GRAP1042 ARCH3361 GRAP2575 ARCH1478 GRAP1051 GRAP1037 GRAP2578 INTE2652 ARCH1479 GRAP1043 GRAP2572 ARCH1477 ARCH3347 ARCH1372 PERF2070 ARCH3356 ARCH1479 GRAP2571 GRAP2570 minor-1 minor-2 minor-3 minor-4,,4
