code,name,year,column,points,option,number,prerequisits,equivalents
GRAP1041,Design in Society,1,1,12,1,1,,
GRAP1052,Design Prototyping,1,2,12,1,1,,
GRAP1049,ID Drawing,1,3,12,1,1,,
GRAP1031,User Centred Design Studio,1,4,12,1,2,,GRAP1032
GRAP1032,Design for Sustainability,1,4,12,2,2,,GRAP1031
GRAP1050,Computer Aided Industrial Design,1,5,12,1,1,,
GRAP1042,Industrial Design Ecologies,2,1,12,1,1,,
GRAP1033,Design Studio: Materiality,2,2,24,1,2,GRAP1031 GRAP1032,GRAP1034
GRAP1034,Design Studio: Speculative,2,2,24,2,2,GRAP1031 GRAP1032,GRAP1033
GRAP1043,Industrial Design Tactics,3,1,12,1,3,,GRAP1045 GRAP2923
GRAP1045,Contemporary Industrial Design Enterprise,3,1,12,2,3,,GRAP1043 GRAP2923
GRAP2923,Professional Ethics and Design Strategy,3,1,12,3,3,,GRAP1043 GRAP1045
GRAP1035,Design Studio: Social,3,2,24,1,1,GRAP1031 GRAP1032,
,Program Elective,3,4,12,1,1,,
GRAP2221,Design Studio: Digital,4,1,24,1,1,GRAP1031 GRAP1032,
GRAP2225,Methods in Design Research and Practice,4,3,12,1,1,,
,Univeristy or Program Elective,4,4,12,1,1,,
GRAP2939,Industrial Design Honours Reflection and Exposition,5,1,12,1,1,GRAP2225 GRAP2221 GRAP1035 GRAP1034 GRAP1033,
GRAP2935,Industrial Design Honours Project Part 1,5,2,24,1,1,GRAP2225 GRAP2221 GRAP1035 GRAP1034 GRAP1033,
GRAP2930,Industrial Design Honours Project Part 2,5,4,24,1,1,GRAP2935,
